rank,ticker,tradability_score,binary_score,score_liq,pass_liq,score_stab,pass_stab,score_spread,pass_spread,score_range,pass_range,score_vol,pass_vol,median_dollar_vol,cv_dollar_vol,cs_spread,range_median,vol_median,flags
691,OLP,47.9,4,22.712418300653596,1,46.97712418300654,1,68.95424836601308,1,22.426470588235293,0,78.51307189542483,1,1430058,0.7203,0.00322,0.0193,0.199,OK
692,PCB,47.9,4,6.127450980392156,0,79.57516339869282,1,54.08496732026145,1,33.006535947712415,1,66.50326797385621,1,516232,0.5353,0.004359,0.0231,0.2608,LOW_LIQ
693,TRVI,47.8,4,82.6797385620915,1,47.95751633986928,1,5.310457516339873,0,85.94771241830065,1,17.075163398692805,1,13602468,0.7133,0.014439,0.0557,0.579,WIDE_SPREAD|NO_SIGNAL|FAT_TAIL
694,FRBA,47.8,4,10.620915032679738,0,74.01960784313727,1,52.614379084967325,1,29.942810457516337,1,71.97712418300654,1,724701,0.5598,0.004488,0.0223,0.2369,LOW_LIQ|FAT_TAIL
695,EIC,47.7,4,34.55882352941176,1,29.738562091503272,1,75.89869281045752,1,18.872549019607842,0,79.33006535947713,1,2224604,0.9057,0.002564,0.0169,0.1949,FAT_TAIL
696,UNTY,47.7,4,32.92483660130719,1,69.36274509803921,1,31.944444444444443,0,44.771241830065364,1,59.47712418300654,1,2113772,0.5851,0.006409,0.0274,0.2838,WIDE_SPREAD
697,INSP,47.6,4,99.50980392156863,1,26.225490196078425,1,20.01633986928104,0,74.22385620915033,1,18.178104575163403,1,78314656,0.9839,0.008572,0.0422,0.5691,WIDE_SPREAD|FAT_TAIL
698,JANX,47.5,4,90.60457516339869,1,31.944444444444443,1,12.745098039215685,0,82.1078431372549,1,19.934640522875814,1,19905137,0.8742,0.010291,0.0495,0.5525,WIDE_SPREAD|FAT_TAIL
699,ADTN,47.5,4,74.75490196078431,1,31.127450980392158,1,32.02614379084967,0,69.3218954248366,1,30.3921568627451,1,9774414,0.8809,0.006403,0.0395,0.4621,WIDE_SPREAD|FAT_TAIL
700,GABC,47.5,4,52.614379084967325,1,27.696078431372552,1,59.55882352941176,1,23.570261437908496,0,73.93790849673204,1,4424545,0.9416,0.004013,0.0199,0.2272,OK
701,AMCX,47.5,4,42.15686274509804,1,66.421568627451,1,27.61437908496732,0,69.11764705882352,1,32.18954248366013,1,2949966,0.6018,0.006961,0.0394,0.4479,WIDE_SPREAD|NO_SIGNAL
702,SPFI,47.5,4,29.49346405228758,1,56.127450980392155,1,44.11764705882353,0,36.60130718954248,1,71.32352941176471,1,1871623,0.6533,0.005286,0.0242,0.2395,WIDE_SPREAD
703,PZZA,47.4,4,97.22222222222221,1,20.75163398692811,1,24.91830065359477,0,61.029411764705884,1,33.08823529411765,1,38081967,1.0992,0.007377,0.0352,0.4423,WIDE_SPREAD|NO_SIGNAL
704,ARVN,47.4,4,82.92483660130719,1,26.71568627450981,1,23.611111111111114,0,83.82352941176471,1,19.771241830065357,1,13696472,0.9756,0.007585,0.0519,0.5532,WIDE_SPREAD|NO_SIGNAL|FAT_TAIL
705,MLKN,47.4,4,73.12091503267973,1,40.19607843137255,1,31.454248366013072,0,50.326797385620914,1,41.99346405228758,1,9035706,0.7764,0.006481,0.0295,0.3901,WIDE_SPREAD|NO_SIGNAL|FAT_TAIL
706,RDVT,47.4,4,50.408496732026144,1,66.99346405228759,1,16.33986928104575,0,65.27777777777779,1,37.908496732026144,1,4092123,0.5987,0.009297,0.0374,0.4103,WIDE_SPREAD|NO_SIGNAL|FAT_TAIL
707,INR,47.4,4,48.61111111111111,1,57.843137254901954,1,21.813725490196077,0,75.73529411764706,1,32.84313725490197,1,3770465,0.6444,0.007968,0.0432,0.4437,WIDE_SPREAD
708,XERS,47.3,4,79.90196078431373,1,49.26470588235294,1,11.601307189542487,0,73.0392156862745,1,22.87581699346405,1,12107031,0.7049,0.01081,0.0415,0.5229,WIDE_SPREAD|FAT_TAIL
709,OCUL,47.1,4,93.95424836601308,1,22.630718954248362,1,14.62418300653595,0,83.41503267973856,1,20.66993464052288,1,27809076,1.0543,0.009806,0.0515,0.5396,WIDE_SPREAD|NO_SIGNAL|FAT_TAIL
710,TIC,47.1,4,90.44117647058823,1,19.689542483660126,1,15.277777777777779,0,79.65686274509804,1,30.47385620915033,1,19726147,1.128,0.009598,0.0468,0.4618,WIDE_SPREAD|NO_SIGNAL
711,KELYA,47.1,4,46.81372549019608,1,52.94117647058824,1,35.94771241830066,0,51.71568627450981,1,47.95751633986928,1,3547575,0.6769,0.005988,0.0306,0.3489,WIDE_SPREAD|FAT_TAIL
712,RNGR,47.1,4,32.59803921568628,1,78.26797385620915,1,19.771241830065357,0,60.78431372549019,1,43.995098039215684,1,2088737,0.5395,0.008628,0.035,0.3768,WIDE_SPREAD|FAT_TAIL
713,TWN,47.1,4,11.356209150326798,0,29.24836601307189,1,89.99183006535948,1,27.16503267973856,1,77.69607843137256,1,764751,0.9193,0.001358,0.0213,0.2033,LOW_LIQ
714,ANGO,46.9,4,51.9607843137255,1,36.60130718954249,1,40.931372549019606,0,60.45751633986928,1,44.607843137254896,1,4361611,0.8125,0.005515,0.0349,0.3702,WIDE_SPREAD|FAT_TAIL
715,BGR,46.9,4,17.973856209150327,1,35.78431372549019,1,81.29084967320262,1,16.503267973856207,0,83.00653594771241,1,1112483,0.823,0.002161,0.014,0.1572,FAT_TAIL
716,SCHL,46.8,4,67.64705882352942,1,30.718954248366014,1,36.68300653594771,0,55.26960784313726,1,43.504901960784316,1,7384440,0.8872,0.005924,0.0325,0.3788,WIDE_SPREAD|FAT_TAIL
717,KIDS,46.8,4,38.80718954248366,1,83.08823529411764,1,7.761437908496727,0,69.73039215686273,1,34.39542483660131,1,2653642,0.5118,0.012871,0.0397,0.4321,WIDE_SPREAD
718,DJCO,46.6,4,95.66993464052288,1,20.588235294117652,1,22.549019607843135,0,71.65032679738562,1,22.630718954248362,1,33068175,1.1053,0.007792,0.0404,0.5239,WIDE_SPREAD
719,CODI,46.6,4,68.54575163398692,1,25.0,1,47.549019607843135,1,82.88398692810458,1,9.068627450980394,0,7619386,1.0027,0.004961,0.0509,0.7333,NO_SIGNAL|FAT_TAIL
720,ZD,46.5,4,89.86928104575163,1,16.993464052287578,1,22.79411764705882,0,67.8921568627451,1,34.92647058823529,1,19214710,1.2292,0.007759,0.0387,0.4285,WIDE_SPREAD|NO_SIGNAL
721,SILA,46.5,4,67.72875816993465,1,13.602941176470583,1,50.65359477124183,1,22.263071895424837,0,78.22712418300654,1,7454865,1.4412,0.004651,0.0192,0.2007,OK
722,MATV,46.5,4,47.385620915032675,1,71.36437908496733,1,21.078431372549023,0,70.1797385620915,1,22.549019607843135,1,3607207,0.5764,0.008221,0.0398,0.5241,WIDE_SPREAD
723,ORN,46.4,4,40.931372549019606,1,64.54248366013071,1,23.44771241830066,0,78.02287581699346,1,25.204248366013072,1,2787069,0.6116,0.007602,0.0452,0.5022,WIDE_SPREAD
724,KODK,46.3,4,63.725490196078425,1,26.55228758169934,1,39.583333333333336,0,75.24509803921569,1,26.63398692810458,1,6609642,0.9806,0.005612,0.0429,0.4928,WIDE_SPREAD|NO_SIGNAL|FAT_TAIL
725,MMI,46.3,4,54.248366013071895,1,31.699346405228756,1,44.77124183006536,0,43.25980392156863,1,57.59803921568627,1,4756271,0.8752,0.00521,0.0266,0.2906,WIDE_SPREAD|FAT_TAIL
726,MLR,46.3,4,41.58496732026144,1,53.10457516339869,1,35.049019607843135,0,43.872549019607845,1,57.6797385620915,1,2865581,0.6759,0.00608,0.0269,0.2905,WIDE_SPREAD
727,DCH,46.2,4,88.80718954248366,1,16.584967320261434,1,35.29411764705882,0,67.76960784313727,1,22.38562091503268,1,18555858,1.2428,0.006057,0.0386,0.5262,WIDE_SPREAD|FAT_TAIL
728,RIGL,46.2,4,77.77777777777779,1,32.02614379084967,1,18.055555555555557,0,80.71895424836602,1,22.263071895424837,1,11250004,0.8741,0.00884,0.0481,0.5265,WIDE_SPREAD|NO_SIGNAL
